['67 ', 'Casa Museo Unamuno  ', 'Sábado ', ' ', '13:00 ', ' ', ' ', ' ', '6 ', '1 ', '2014-10-27 17:09:03 ', '2014-10-27 17:09:03 '],
['68 ', 'Convento de las Claras  ', 'Miércoles ', ' ', '11:15 ', ' ', ' ', ' ', '10 ', '1 ', '2014-10-27 17:14:08 ', '2014-10-27 17:14:08 '],
['69 ', 'Convento de las Claras  ', 'Jueves ', ' ', '17:00 ', ' ', ' ', ' ', '6 ', '1 ', '2014-10-27 17:14:47 ', '2014-10-27 17:14:47 '],
['70 ', 'Fundación Vicente Rodríguez Fabrés  ', 'Viernes ', ' ', '17:00 ', ' ', ' ', ' ', '3 ', '1 ', '2014-10-27 17:20:04 ', '2014-10-27 17:20:04 '],
['71 ', 'El Búho  ', 'De Lunes a Viernes ', ' ', '09:00 a 14:00 ', ' ', '16:45 a 21:30 ', ' ', '8 ', '1 ', '2014-11-04 21:02:29 ', '2015-01-06 16:16:10 '],
['72 ', 'Campillo Inmobiliaria  ', 'De Lunes a Viernes ', ' ', '09:45 a 13:45 ', ' ', '17:00 a 20:00 ', ' ', '6 ', '1 ', '2014-11-04 21:34:12 ', '2015-01-06 16:15:17 '],
['73 ', 'Aurelio Álvarez y Asociados  ', 'De Lunes a Viernes ', ' ', '09:00 a 14:00 ', ' ', '16:30 a 19:30 ', ' ', '0 ', '1 ', '2014-11-15 10:13:55 ', '2014-11-15 10:13:55 '],
['74 ', 'Hostal Santel San Marcos  ', 'De Lunes a Domingo ', ' ', 'Recepción ', ' ', '09:00 a 23:00 ', ' ', '8 ', '1 ', '2014-11-17 16:35:04 ', '2014-11-17 16:35:04 '],
['75 ', 'Hostal Uría  ', 'Lunes a Domingo ', ' ', '11:00 a 14:00 ', ' ', '16:00 a 21:30 ', ' ', '9 ', '1 ', '2014-11-17 17:05:35 ', '2014-11-17 17:05:35 '],
['76 ', 'Hostal Uría  ', 'Sábados ', ' ', '11:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '3 ', '1 ', '2014-11-17 17:06:05 ', '2014-11-17 17:06:05 '],
['77 ', 'Don Gregorio - Grand Hotel  ', 'De Lunes a Domingo ', ' ', '24 hrs ', ' ', ' ', ' ', '9 ', '1 ', '2014-11-28 12:11:50 ', '2014-11-28 12:11:50 '],
['78 ', 'Posada de las Ánimas San Boal  ', 'Miércoles a Sábado ', ' ', '17:00 a 3:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-11-29 20:21:50 ', '2014-11-29 20:21:50 '],
['79 ', 'Taxi Salamanca  ', 'De Lunes a Domingo ', ' ', '24 hrs ', ' ', ' ', ' ', '0 ', '1 ', '2014-11-29 20:36:21 ', '2014-11-29 20:36:21 '],
['80 ', 'El Tormes  ', 'De Lunes a Domingo ', ' ', '10:00 a 01:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-11-29 20:52:59 ', '2014-11-29 20:52:59 '],
['81 ', 'Estación de Autobuses  ', 'De Lunes a Domingo ', ' ', '24 hrs ', ' ', ' ', ' ', '0 ', '1 ', '2014-11-29 21:06:37 ', '2014-11-29 21:06:37 '],
['82 ', 'Renfe Salamanca  ', 'De Lunes a Domingo ', ' ', '24 hrs ', ' ', ' ', ' ', '0 ', '1 ', '2014-11-29 21:16:10 ', '2014-11-29 21:16:10 '],
['83 ', 'CREADSA  ', 'De Lunes a Viernes ', ' ', '09:00 a 14:00 ', ' ', '16:00 a 20:00 ', ' ', '0 ', '1 ', '2014-11-29 21:26:20 ', '2014-11-29 21:26:20 '],
['84 ', 'Gatsby  ', 'Abierto los 365 días del año ', ' ', '15:00 a 05:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-11-29 21:47:30 ', '2015-02-24 14:19:59 '],
['85 ', 'Facultad de Economía y Empresa - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:30 ', ' ', ' ', ' ', '4 ', '1 ', '2014-12-01 09:56:03 ', '2014-12-01 10:05:49 '],
['86 ', 'Facultad de Derecho - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '6 ', '1 ', '2014-12-01 10:05:27 ', '2014-12-01 10:56:05 '],
['87 ', 'Facultad de Educación - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 10:14:20 ', '2014-12-01 10:14:20 '],
['88 ', 'Facultad de Medicina - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 10:24:05 ', '2014-12-01 10:24:05 '],
['89 ', 'Facultad de Farmacia - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 10:42:53 ', '2014-12-01 10:42:53 '],
['90 ', 'Facultad de Biología - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 10:50:54 ', '2014-12-01 10:50:54 '],
['91 ', 'Facultad de Ciencias - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 11:00:43 ', '2014-12-01 11:00:43 '],
['92 ', 'Facultad de Bellas Artes - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 11:14:33 ', '2014-12-01 11:14:33 '],
['93 ', 'Facultad de Ciencias Agrarias y Ambientales - USAL  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-01 11:22:19 ', '2014-12-01 11:22:19 '],
