['134 ', 'Zona 11 - Úrsulas ', 'Zone 11 - Úrsulas ', 'Feria de Día 2015  ', ' ', '11 ', '1 ', '2015-09-02 08:02:56 ', '2015-09-02 08:03:39 '],
['135 ', 'Zona 12 - Carmelitas ', 'Zone 12 - Carmelitas ', 'Feria de Día 2015  ', ' ', '10 ', '1 ', '2015-09-02 08:03:59 ', '2015-09-02 08:03:59 '],
['136 ', 'Zona 13 - Brocense ', 'Zone 13 - Brocense ', 'Feria de Día 2015  ', ' ', '9 ', '1 ', '2015-09-02 08:04:20 ', '2015-09-02 08:04:20 '],
['137 ', 'Zona 14 - Rector Lucena ', 'Zone 14 - Rector Lucena ', 'Feria de Día 2015  ', ' ', '8 ', '1 ', '2015-09-02 08:05:05 ', '2015-09-02 08:05:05 '],
['138 ', 'Zona 15 - Plaza Los Bandos ', 'Zone 15 - Plaza Los Bandos ', 'Feria de Día 2015  ', ' ', '7 ', '1 ', '2015-09-02 08:05:21 ', '2015-09-02 08:05:21 '],
['139 ', 'Zona 16 - Plaza San Boal ', 'Zone 16 - Plaza San Boal ', 'Feria de Día 2015  ', ' ', '6 ', '1 ', '2015-09-02 08:05:37 ', '2015-09-02 08:05:37 '],
['140 ', 'Zona 16 - Plaza San Boal ', 'Zone 16 - Plaza San Boal ', 'Feria de Día 2015  ', ' ', '6 ', '1 ', '2015-09-02 08:05:42 ', '2015-09-02 08:05:42 '],
['141 ', 'Zona 17 - Plaza España ', 'Zone 17 - Plaza España ', 'Feria de Día 2015  ', ' ', '5 ', '1 ', '2015-09-02 08:06:20 ', '2015-09-02 08:06:25 '],
['142 ', 'Zona 18 - Alamedilla ', 'Zone 18 - Alamedilla ', 'Feria de Día 2015  ', ' ', '4 ', '1 ', '2015-09-02 08:06:40 ', '2015-09-02 08:06:40 '],
['143 ', 'Zona 19 - Van Dyck/Salesas ', 'Zone 19 - Van Dyck/Salesas ', 'Feria de Día 2015  ', ' ', '3 ', '1 ', '2015-09-02 08:06:57 ', '2015-09-02 08:06:57 '],
['144 ', 'Zone 20 - Plaza del Oeste ', 'Zone 20 - Plaza del Oeste ', 'Feria de Día 2015  ', ' ', '2 ', '1 ', '2015-09-02 08:07:19 ', '2015-09-02 08:08:04 '],
['145 ', 'ERASMUS TAPAS TOUR 2015 ', 'ERASMUS TAPAS TOUR 2015 ', 'Promociones  ', ' ', '40 ', '1 ', '2015-09-06 14:45:32 ', '2015-09-06 14:45:32 '],
['146 ', 'Conciertos ', 'Concerts ', 'Ferias y Fiestas de Salamanca  ', ' ', '10 ', '1 ', '2015-09-07 15:12:01 ', '2015-09-07 15:12:01 '],
['147 ', 'Horarios y Recorridos ', 'Schedules and Routes ', 'Semana Santa Salamanca 2016  ', ' ', '15 ', '1 ', '2016-02-26 19:25:13 ', '2016-02-26 19:30:49 '],
['148 ', 'Hermandades ', 'Brotherhoods ', 'Semana Santa Salamanca 2016  ', ' ', '0 ', '1 ', '2016-02-26 19:36:17 ', '2016-02-26 19:36:17 '],
['149 ', 'Guía para obtener el 20% ', 'Guide for 20% discount ', '20% de Descuento en Avanzabus  ', ' ', '5 ', '1 ', '2016-04-19 14:34:01 ', '2016-04-19 14:34:01 '],
['150 ', 'Racetime ', 'Racetime ', 'Racetime Eventos Deportivos  ', ' ', '7 ', '1 ', '2016-04-19 15:00:59 ', '2016-04-19 15:00:59 '],
['151 ', 'Servicios ', 'Services ', 'Racetime Eventos Deportivos  ', ' ', '6 ', '1 ', '2016-04-19 15:01:32 ', '2016-04-19 15:01:32 '],
['152 ', 'Eventos ', 'Events ', 'Racetime Eventos Deportivos  ', ' ', '5 ', '1 ', '2016-04-19 15:01:46 ', '2016-04-19 15:22:51 '],
['153 ', 'Contacto ', 'Contact ', 'Racetime Eventos Deportivos  ', ' ', '4 ', '1 ', '2016-04-19 15:02:07 ', '2016-04-19 15:02:07 '],
['154 ', 'Compra online ', 'Buy online ', '20% de Descuento en Avanzabus  ', ' ', '-1 ', '1 ', '2016-04-19 15:38:32 ', '2016-04-19 15:38:32 '],
['155 ', 'Tareas Domésticas ', 'Housework ', 'Servicios Profesionales  ', ' ', '0 ', '1 ', '2017-10-19 20:10:50 ', '2017-10-19 20:10:50 '],
['156 ', 'Zona La Alamedilla ', 'Zona La Alamedilla ', 'Feria de día 2018  ', ' ', '1 ', '1 ', '2018-08-31 17:43:35 ', '2018-08-31 17:43:35 '],
['157 ', 'Zona San Juan de Sahagún ', 'Zona San Juan de Sahagún ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:28:27 ', '2018-08-31 21:28:27 '],
['158 ', 'Zona Plaza de los Bandos ', 'Zona Plaza de los Bandos ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:30:12 ', '2018-08-31 21:30:12 '],
['159 ', 'Calle Rúa Mayor ', 'Rúa Mayor Street ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:31:34 ', '2018-08-31 21:31:34 '],
['160 ', 'Plaza del Mercado ', 'Plaza del Mercado ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:32:09 ', '2018-08-31 21:32:09 '],
['161 ', 'Calle del Clavel ', 'Calle del Clavel ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:32:44 ', '2018-08-31 21:32:44 '],
['162 ', 'Calle Brocense ', 'Calle Brocense ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:33:08 ', '2018-08-31 21:33:08 '],
['163 ', 'Calle Rector Lucena ', 'Calle Rector Lucena ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:33:39 ', '2018-08-31 21:33:39 '],
['164 ', 'Plaza del Oeste ', 'Plaza del Oeste ', 'Feria de día 2018  ', ' ', '0 ', '1 ', '2018-08-31 21:34:07 ', '2018-08-31 21:34:07 '],
